date,Foreign_Investor,Investment_Trust,Dealer_self
2023-09-19,0,0,0
2023-09-19,0,0,0
2023-09-19,0,0,0
2023-09-19,0,0,0
2023-09-19,0,0,0
2023-09-21,0,0,0
2023-09-21,0,0,0
2023-09-21,0,0,0
2023-09-21,0,0,0
2023-09-21,0,0,0
2023-09-25,0,0,0
2023-09-25,0,0,0
2023-09-25,0,0,0
2023-09-25,0,0,0
2023-09-25,0,0,0
2023-10-03,0,0,0
2023-10-03,0,0,0
2023-10-03,0,0,0
2023-10-03,0,0,0
2023-10-03,0,0,0
2023-10-04,0,0,0
2023-10-04,0,0,0
2023-10-04,0,0,0
2023-10-04,0,0,0
2023-10-04,0,0,0
2023-10-06,0,0,0
2023-10-06,0,0,0
2023-10-06,0,0,0
2023-10-06,0,0,0
2023-10-06,0,0,0
2023-10-11,0,0,0
2023-10-11,0,0,0
2023-10-11,0,0,0
2023-10-11,0,0,0
2023-10-11,0,0,0
2023-10-24,0,0,0
2023-10-24,0,0,0
2023-10-24,0,0,0
2023-10-24,0,0,0
2023-10-24,0,0,0
2024-03-15,0,0,0
2024-03-15,0,0,0
2024-03-15,0,0,0
2024-03-15,0,0,0
2024-03-15,0,0,0
2024-03-20,0,0,0
2024-03-20,0,0,0
2024-03-20,0,0,0
2024-03-20,0,0,0
2024-03-20,0,0,0
2024-03-21,0,0,0
2024-03-21,0,0,0
2024-03-21,0,0,0
2024-03-21,0,0,0
2024-03-21,0,0,0
2024-03-22,0,0,0
2024-03-22,0,0,0
2024-03-22,0,0,0
2024-03-22,0,0,0
2024-03-22,0,0,0
2024-04-01,0,0,0
2024-04-01,0,0,0
2024-04-01,0,0,0
2024-04-01,0,0,0
2024-04-01,0,0,0
2024-04-02,0,0,0
2024-04-02,0,0,0
2024-04-02,0,0,0
2024-04-02,0,0,0
2024-04-02,0,0,0
2024-04-03,0,0,0
2024-04-03,0,0,0
2024-04-03,0,0,0
2024-04-03,0,0,0
2024-04-03,0,0,0
2024-04-08,0,0,0
2024-04-08,0,0,0
2024-04-08,0,0,0
2024-04-08,0,0,0
2024-04-08,0,0,0
2024-04-09,0,0,0
2024-04-09,0,0,0
2024-04-09,0,0,0
2024-04-09,0,0,0
2024-04-09,0,0,0
2024-04-10,0,0,0
2024-04-10,0,0,0
2024-04-10,0,0,0
2024-04-10,0,0,0
2024-04-10,0,0,0
2024-04-11,0,0,0
2024-04-11,0,0,0
2024-04-11,0,0,0
2024-04-11,0,0,0
2024-04-11,0,0,0
2024-04-12,0,0,0
2024-04-12,0,0,0
2024-04-12,0,0,0
2024-04-12,0,0,0
