date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,volume,high,low,MA5,MA20,Volume_avg
2023-09-19,8464,205242,66114298,321.0,324.5,319.0,319.0,-3.0,268,205242,324.5,319.0,319.0,319.0,205242.0
2023-09-20,8464,242951,76790323,318.5,318.5,312.5,313.0,-6.0,301,242951,318.5,312.5,316.0,316.0,224096.5
2023-09-21,8464,282671,87714208,312.0,313.0,308.0,309.5,-3.5,395,282671,313.0,308.0,313.8333333333333,313.8333333333333,243621.33333333334
2023-09-22,8464,104634,32960562,310.0,316.5,310.0,316.5,7.0,106,104634,316.5,310.0,314.5,314.5,208874.5
2023-09-25,8464,448631,140462840,315.5,318.0,312.0,312.0,-4.5,229,448631,318.0,312.0,314.0,314.0,256825.8
2023-09-26,8464,345600,107417600,309.5,314.0,308.0,313.0,1.0,338,345600,314.0,308.0,312.8,313.8333333333333,271621.5
2023-09-27,8464,126246,39255326,309.5,313.5,309.0,310.0,-3.0,133,126246,313.5,309.0,312.2,313.2857142857143,250853.57142857142
2023-09-28,8464,288739,89594832,310.5,312.0,309.5,310.0,0.0,269,288739,312.0,309.5,312.3,312.875,255589.25
2023-10-02,8464,554436,173513746,312.5,315.0,310.0,311.5,1.5,129,554436,315.0,310.0,311.3,312.72222222222223,288794.44444444444
2023-10-03,8464,201390,63260854,309.0,316.0,309.0,313.0,1.5,202,201390,316.0,309.0,311.5,312.75,280054.0
2023-10-04,8464,368278,113235205,310.5,314.5,304.0,306.5,-6.5,425,368278,314.5,304.0,310.2,312.1818181818182,288074.36363636365
2023-10-05,8464,439080,137716462,306.5,316.5,306.0,315.0,8.5,366,439080,316.5,306.0,311.2,312.4166666666667,300658.1666666667
2023-10-06,8464,354330,112351866,312.5,320.0,312.0,316.5,1.5,381,354330,320.0,312.0,312.5,312.7307692307692,304786.76923076925
2023-10-11,8464,560207,173574098,319.0,319.0,305.0,309.0,-7.5,939,560207,319.0,305.0,312.0,312.4642857142857,323031.0714285714
2023-10-12,8464,331266,104162764,310.0,316.0,310.0,316.0,7.0,204,331266,316.0,310.0,312.6,312.7,323580.06666666665
2023-10-13,8464,312410,97132317,314.0,314.5,307.5,307.5,-8.5,335,312410,314.5,307.5,312.8,312.375,322881.9375
2023-10-16,8464,431077,130699608,305.5,309.0,300.5,300.5,-7.0,635,431077,309.0,300.5,309.9,311.6764705882353,329246.35294117645
