stock_id,stock_name
3450,聯鈞
3669,圓展
8499,鼎炫-KY
6165,浪凡
2459,敦吉
2614,東森
1453,大將
1443,立益
2429,銘旺科
6165,浪凡
2241,艾姆勒
1456,怡華
6431,光麗-KY
6431,光麗-KY
2495,普安
2340,台亞
6869,雲豹能源-創
6873,泓德能源-創
2432,倚天
8462,柏文
2739,寒舍
2712,遠雄來
2722,夏都
2723,美食-KY
9943,好樂迪
2727,王品
2753,八方雲集
2731,雄獅
2748,雲品
2707,晶華
5706,鳳凰
2702,華園
8940,新天地
2701,萬企
2704,國賓
2705,六福
2706,第一店
8478,東哥遊艇
9930,中聯資源
8454,富邦媒
3708,上緯投控
6689,伊雲谷
8438,昶昕
9934,成霖
8462,柏文
8473,山林水
3054,立萬利
4536,拓凱
8467,波力-KY
1598,岱宇
3557,嘉威
6807,峰源-KY
2062,橋椿
3054,立萬利
9955,佳龍
9935,慶豐富
3708,上緯投控
2442,新美齊
5306,桂盟
1432,大魯閣
6754,匯僑設計
1439,雋揚
1736,喬山
1736,喬山
6165,浪凡
6641,基士德-KY
8341,日友
8422,可寧衛
6768,志強-KY
1472,三洋實業
6689,伊雲谷
3130,一零四
3130,一零四
1598,岱宇
2424,隴華
9904,寶成
6671,三能-KY
6670,復盛應用
9924,福興
8482,商億-KY
6581,鋼聯
9921,巨大
9802,鈺齊-KY
2442,新美齊
6806,森崴能源
8464,億豐
9910,豐泰
9911,櫻花
9914,美利達
6869,雲豹能源
6873,泓德能源
6757,台灣虎航-創
4733,上緯
4733,上緯
1715,萬洲
1311,福聚
1606,歌林
1716,永信
1729,必翔
1523,開億
1601,台光
1230,聯成食
6924,榮惠-KY創
3697,F-晨星
3697,F-晨星
3584,介面
6951,青新-創
3474,華亞科
3271,其樂達
1107,建台
1520,復盛
3474,華亞科
5264,鎧勝-KY
5280,F-敦泰
3271,其樂達
5280,F-敦泰
3584,介面
2341,英群
6949,沛爾生醫-創
3559,全智科
2350,環電
2350,環電
2341,英群
2254,巨鎧精密-創
020022,元大電動車N
6119,大傳
2358,廷鑫
3614,誠致
3614,誠致
3367,英華達
3367,英華達
6969,成信實業*-創
6172,互億
6012,金鼎證
8008,建興電
3638,F-IML
8008,建興電
6988,威力暘-創
6902,GOGOLOOK-創
8078,華寶
8078,華寶
2315,神達
3638,F-IML
6119,大傳
6004,元京證
3599,旺能
2258,鴻華先進-創
2336,致伸
2336,致伸
020002,元富新中國N
2315,神達
020004,兆豐電菁英30N
3599,旺能
020005,永豐外資50N
3534,雷凌
020007,凱基臺灣500N
1262,綠悅-KY
3534,雷凌
020008,元大特股高息N
3598,奕力
3598,奕力
020006,永昌中小300N
5854,合庫
6534,正瀚-創
2361,鴻友
3020,奇普仕
3020,奇普仕
00743,國泰中國A150
00742,新光內需收益
3009,奇美電
3009,奇美電
00732,國泰RMB短期報酬
3007,綠點
910069,新曄
9101,福雷電
9102,東亞科
9103,美德醫療-DR
910322,康師傅-DR
9104,萬宇科
910482,聖馬丁-DR
9105,泰金寶-DR
6645,金萬林-創
2526,大陸
